student_id,Competency
3b730c3ad3db41d8ad7d63339c042e49,URD-102
3c010afd882d4ae7ab9c4f19c60d787d,SYS-102
3d7c05f6170344b5becc78b2ac1603a0,AIC-504
3d7c05f6170344b5becc78b2ac1603a0,ENI-103
3d7c05f6170344b5becc78b2ac1603a0,HCD-403
3d7c05f6170344b5becc78b2ac1603a0,HCD-502
3d7c05f6170344b5becc78b2ac1603a0,SEC-101
3d7c05f6170344b5becc78b2ac1603a0,URD-102
40a702bd8a5f43d5b9bb67617eef088f,AIC-201
40a702bd8a5f43d5b9bb67617eef088f,ENI-103
40a702bd8a5f43d5b9bb67617eef088f,HAS-123
40a702bd8a5f43d5b9bb67617eef088f,HAS-133
40a702bd8a5f43d5b9bb67617eef088f,HAS-143
40a702bd8a5f43d5b9bb67617eef088f,HCD-402
40a702bd8a5f43d5b9bb67617eef088f,HCD-403
40a702bd8a5f43d5b9bb67617eef088f,SEC-101
40a702bd8a5f43d5b9bb67617eef088f,SEC-302
40a702bd8a5f43d5b9bb67617eef088f,URD-101
40a702bd8a5f43d5b9bb67617eef088f,URD-201
40ff6eedc8dd437b96aeb8ab78bf51c0,AIC-504
40ff6eedc8dd437b96aeb8ab78bf51c0,ENI-103
40ff6eedc8dd437b96aeb8ab78bf51c0,SEC-101
4109494b648c441db8bfd506ceb4a819,AIC-504
4109494b648c441db8bfd506ceb4a819,COM-106
4109494b648c441db8bfd506ceb4a819,ENI-107
4109494b648c441db8bfd506ceb4a819,ENI-201
4109494b648c441db8bfd506ceb4a819,HCD-403
4109494b648c441db8bfd506ceb4a819,HCD-502
4109494b648c441db8bfd506ceb4a819,SEC-101
4109494b648c441db8bfd506ceb4a819,URD-102
432158bac8a14c90b046783b4890c5de,COM-101
432158bac8a14c90b046783b4890c5de,COM-106
432158bac8a14c90b046783b4890c5de,ENI-103
432158bac8a14c90b046783b4890c5de,ENI-107
432158bac8a14c90b046783b4890c5de,ENI-201
432158bac8a14c90b046783b4890c5de,HAS-123
432158bac8a14c90b046783b4890c5de,HAS-133
432158bac8a14c90b046783b4890c5de,HCD-403
432158bac8a14c90b046783b4890c5de,SCI-106
432158bac8a14c90b046783b4890c5de,SCI-108
432158bac8a14c90b046783b4890c5de,URD-102
4bca2c10d73e4ec6b1e497bd742bdc2d,AIC-101
4bca2c10d73e4ec6b1e497bd742bdc2d,AIC-504
4bca2c10d73e4ec6b1e497bd742bdc2d,ENI-103
4bca2c10d73e4ec6b1e497bd742bdc2d,HAS-113
4bca2c10d73e4ec6b1e497bd742bdc2d,HAS-133
4bca2c10d73e4ec6b1e497bd742bdc2d,HAS-143
4bca2c10d73e4ec6b1e497bd742bdc2d,HCD-304
4bca2c10d73e4ec6b1e497bd742bdc2d,HCD-403
4bca2c10d73e4ec6b1e497bd742bdc2d,HCD-405
4bca2c10d73e4ec6b1e497bd742bdc2d,HCD-504
4bca2c10d73e4ec6b1e497bd742bdc2d,SCI-108
4bca2c10d73e4ec6b1e497bd742bdc2d,SCI-109
4bca2c10d73e4ec6b1e497bd742bdc2d,SEC-201
4bca2c10d73e4ec6b1e497bd742bdc2d,SEC-302
4d1f5f586e4042fb8c11e04dec1e4526,AIC-301
4d1f5f586e4042fb8c11e04dec1e4526,AIC-605
4d1f5f586e4042fb8c11e04dec1e4526,SEN-304
4d1f5f586e4042fb8c11e04dec1e4526,URD-101
4d1f5f586e4042fb8c11e04dec1e4526,URD-202
4eeafac143cc43ab8b554c898ea1a33c,SEC-101
4eeafac143cc43ab8b554c898ea1a33c,SEC-201
4eeafac143cc43ab8b554c898ea1a33c,SEC-302
4eeafac143cc43ab8b554c898ea1a33c,URD-101
5396e2b82a5e4842a4a8a9f6003ab9d3,AIC-201
5396e2b82a5e4842a4a8a9f6003ab9d3,AIC-301
5396e2b82a5e4842a4a8a9f6003ab9d3,AIC-504
5396e2b82a5e4842a4a8a9f6003ab9d3,AIC-605
5396e2b82a5e4842a4a8a9f6003ab9d3,COM-104
5396e2b82a5e4842a4a8a9f6003ab9d3,ENI-106
5396e2b82a5e4842a4a8a9f6003ab9d3,HCD-402
5396e2b82a5e4842a4a8a9f6003ab9d3,SEC-201
5396e2b82a5e4842a4a8a9f6003ab9d3,SEN-306
5396e2b82a5e4842a4a8a9f6003ab9d3,URD-202
573fa3ee1cd34b8a971b4587bc367ce8,COM-101
573fa3ee1cd34b8a971b4587bc367ce8,HAS-101
573fa3ee1cd34b8a971b4587bc367ce8,HAS-113
573fa3ee1cd34b8a971b4587bc367ce8,HAS-123
573fa3ee1cd34b8a971b4587bc367ce8,HAS-143
573fa3ee1cd34b8a971b4587bc367ce8,SEC-101
58e1d981772d43f8b15617e865e7d422,ENI-103
58e1d981772d43f8b15617e865e7d422,HCD-403
58e1d981772d43f8b15617e865e7d422,HCD-502
5dee5d7a3ec642fcafca58ad0c0a334d,AIC-504
5dee5d7a3ec642fcafca58ad0c0a334d,COM-106
5dee5d7a3ec642fcafca58ad0c0a334d,HCD-403
5dee5d7a3ec642fcafca58ad0c0a334d,HCD-502
5dee5d7a3ec642fcafca58ad0c0a334d,SEC-101
5dee5d7a3ec642fcafca58ad0c0a334d,SEC-201
5dee5d7a3ec642fcafca58ad0c0a334d,SEC-302
5dee5d7a3ec642fcafca58ad0c0a334d,SEN-306
5dee5d7a3ec642fcafca58ad0c0a334d,URD-302
5eb03826c62c462ca4e63a6434be0f31,HCD-403
5eb03826c62c462ca4e63a6434be0f31,HCD-502
5fa1a6632c974d6697dc91e719d4b7d4,AIC-504
5fa1a6632c974d6697dc91e719d4b7d4,COM-103
5fa1a6632c974d6697dc91e719d4b7d4,COM-105
5fa1a6632c974d6697dc91e719d4b7d4,ENI-107
5fa1a6632c974d6697dc91e719d4b7d4,ENI-201
5fa1a6632c974d6697dc91e719d4b7d4,HCD-408
5fa1a6632c974d6697dc91e719d4b7d4,HCD-504
61d47236c8dc475e8cc8ef4b4fe429ad,AIC-504
61d47236c8dc475e8cc8ef4b4fe429ad,COM-103
61d47236c8dc475e8cc8ef4b4fe429ad,COM-105
61d47236c8dc475e8cc8ef4b4fe429ad,COM-106
61d47236c8dc475e8cc8ef4b4fe429ad,SEC-101
61d47236c8dc475e8cc8ef4b4fe429ad,SEC-301
61d47236c8dc475e8cc8ef4b4fe429ad,SEN-214
61d47236c8dc475e8cc8ef4b4fe429ad,SYS-208
6247da0c897c4247aac57accbab74d8b,HAS-113
6247da0c897c4247aac57accbab74d8b,HAS-133
6247da0c897c4247aac57accbab74d8b,HAS-143
6247da0c897c4247aac57accbab74d8b,SEC-101
66d78eb0a1d549d0a2b99e6aca11d30d,AIC-201
66d78eb0a1d549d0a2b99e6aca11d30d,AIC-301
66d78eb0a1d549d0a2b99e6aca11d30d,COM-106
66d78eb0a1d549d0a2b99e6aca11d30d,HCD-402
66d78eb0a1d549d0a2b99e6aca11d30d,SEC-201
66d78eb0a1d549d0a2b99e6aca11d30d,SEC-302
66d78eb0a1d549d0a2b99e6aca11d30d,SEN-213
66d78eb0a1d549d0a2b99e6aca11d30d,SEN-214
66d78eb0a1d549d0a2b99e6aca11d30d,SEN-306
66d78eb0a1d549d0a2b99e6aca11d30d,SEN-405
67b8d16644894a5ca4afba623ef88592,AIC-504
67b8d16644894a5ca4afba623ef88592,ENI-103
67b8d16644894a5ca4afba623ef88592,HCD-403
67b8d16644894a5ca4afba623ef88592,HCD-502
67b8d16644894a5ca4afba623ef88592,SYS-102
68781ecf66204f638ea486ab5bf45e46,AIC-101
68781ecf66204f638ea486ab5bf45e46,HCD-403
68781ecf66204f638ea486ab5bf45e46,HCD-502
68781ecf66204f638ea486ab5bf45e46,SCI-104
68781ecf66204f638ea486ab5bf45e46,SCI-105
68781ecf66204f638ea486ab5bf45e46,SCI-106
68781ecf66204f638ea486ab5bf45e46,SCI-108
68781ecf66204f638ea486ab5bf45e46,SCI-109
68781ecf66204f638ea486ab5bf45e46,SEC-101
68781ecf66204f638ea486ab5bf45e46,SEC-302
68781ecf66204f638ea486ab5bf45e46,URD-302
6e7cd7da55ef4ef98334a2a8ab199bdd,AIC-201
6e7cd7da55ef4ef98334a2a8ab199bdd,AIC-301
6e7cd7da55ef4ef98334a2a8ab199bdd,HCD-304
6e7cd7da55ef4ef98334a2a8ab199bdd,HCD-402
6e7cd7da55ef4ef98334a2a8ab199bdd,HCD-403
6e7cd7da55ef4ef98334a2a8ab199bdd,HCD-502
6e7cd7da55ef4ef98334a2a8ab199bdd,HCD-504
6e7cd7da55ef4ef98334a2a8ab199bdd,SCI-108
6e7cd7da55ef4ef98334a2a8ab199bdd,SCI-109
6e7cd7da55ef4ef98334a2a8ab199bdd,SEN-306
6e7cd7da55ef4ef98334a2a8ab199bdd,URD-202
739eef6a772d44adb231cf493cbc83a9,AIC-504
739eef6a772d44adb231cf493cbc83a9,ENI-103
739eef6a772d44adb231cf493cbc83a9,HCD-403
739eef6a772d44adb231cf493cbc83a9,HCD-502
739eef6a772d44adb231cf493cbc83a9,SEC-101
739eef6a772d44adb231cf493cbc83a9,URD-102
76b00b9f870c46da8b83ec6844389942,ENI-103
76b00b9f870c46da8b83ec6844389942,ENI-107
76b00b9f870c46da8b83ec6844389942,ENI-201
76b00b9f870c46da8b83ec6844389942,SYS-102
76b00b9f870c46da8b83ec6844389942,URD-102
76f7a87cea9647829c0b1beb7ca77dc9,AIC-201
76f7a87cea9647829c0b1beb7ca77dc9,AIC-301
76f7a87cea9647829c0b1beb7ca77dc9,ENI-103
76f7a87cea9647829c0b1beb7ca77dc9,HCD-304
76f7a87cea9647829c0b1beb7ca77dc9,SCI-106
76f7a87cea9647829c0b1beb7ca77dc9,SCI-107
76f7a87cea9647829c0b1beb7ca77dc9,SEC-201
76f7a87cea9647829c0b1beb7ca77dc9,SEN-203
76f7a87cea9647829c0b1beb7ca77dc9,SEN-214
76f7a87cea9647829c0b1beb7ca77dc9,URD-202
777c2f4deea44a14ae98598a229b9da9,COM-101
777c2f4deea44a14ae98598a229b9da9,ENI-103
777c2f4deea44a14ae98598a229b9da9,HAS-101
777c2f4deea44a14ae98598a229b9da9,HAS-107
777c2f4deea44a14ae98598a229b9da9,HAS-123
777c2f4deea44a14ae98598a229b9da9,HAS-133
777c2f4deea44a14ae98598a229b9da9,HCD-201
777c2f4deea44a14ae98598a229b9da9,SCI-106
777c2f4deea44a14ae98598a229b9da9,SCI-108
777c2f4deea44a14ae98598a229b9da9,SYS-102
777c2f4deea44a14ae98598a229b9da9,URD-102
77ac131425e64550932cafa1b9caf342,AIC-201
